,piece_title,pattern_generating_match,pattern_matched,predicted_type,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs
31,Missa Benedicta es - Kyrie,"(-2, 2, 2, 2)","(-3, 2, 2, 2)",Fuga,[Tenor],[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46/3.0,50/3.0,52/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,372.0,404.0,420.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,10.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Missa Benedicta es - Kyrie,"(2, -2, 1, -2)","(2, -2, 1, -2)",Fuga,[Discantus],[Tenor],[Contratenor 2],[Contratenor 1],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47/3.5,49/1.0,52/3.5,54/1.0,57/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,381.0,392.0,421.0,432.0,460.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,12.0,11.0,12.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Missa Benedicta es - Kyrie,"(-2, 1, -2, 2)","(-2, 1, -2, 2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47/4.0,49/2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,382.0,394.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Missa Benedicta es - Kyrie,"(-2, -3, 3, -2)","(-2, -3, 2, -2)",Fuga,[Bassus 1],[Contratenor 2],[Bassus 2],[Bassus 2],[Tenor],[Discantus],[Bassus 1],[Contratenor 1],[Bassus 1],[Tenor],[Bassus 2],[Contratenor 1],[Contratenor 2],[Contratenor 1],[Contratenor 2],[Tenor],-,-,-,-,-,-,-,-,-,49/1.0,50/4.0,52/1.0,54/1.0,54/4.0,55/1.0,55/3.0,56/4.0,57/3.0,58/2.0,59/1.0,60/4.0,61/1.0,62/3.0,63/3.0,64/1.0,-,-,-,-,-,-,-,-,-,392.0,406.0,416.0,432.0,438.0,440.0,444.0,454.0,460.0,466.0,472.0,486.0,488.0,500.0,508.0,512.0,-,-,-,-,-,-,-,-,-,16.0,13.0,16.0,14.0,14.0,16.0,16.0,12.0,14.0,13.0,18.0,14.0,20.0,16.0,17.0,16.0,-,-,-,-,-,-,-,-,-
35,Missa Benedicta es - Kyrie,"(-3, 2, -2, -3)","(-3, 2, -2, -2)",Fuga,[Bassus 2],[Bassus 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52/3.0,56/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,420.0,448.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Missa Benedicta es - Kyrie,"(2, -2, -2, -2)","(2, -2, -2, -2)",Fuga,[Bassus 2],[Bassus 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52/4.0,56/2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,422.0,450.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Missa Benedicta es - Kyrie,"(-2, -2, -2, -2)","(-2, -2, -2, -3)",Fuga,[Bassus 2],[Contratenor 2],[Bassus 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53/1.0,53/2.0,56/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,424.0,426.0,452.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,14.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Missa Benedicta es - Kyrie,"(-2, -2, -2, 2)","(-2, -2, -3, 2)",Fuga,[Bassus 2],[Bassus 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53/3.0,57/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,428.0,456.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Missa Benedicta es - Kyrie,"(-2, 1, -2, 2)","(-2, 1, -2, 2)",Fuga,[Contratenor 1],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54/2.0,57/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,434.0,462.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,Missa Benedicta es - Kyrie,"(-3, 2, -2, 8)","(-3, 2, -2, 8)",Fuga,[Bassus 2],[Tenor],[Bassus 1],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54/3.0,57/1.0,58/1.0,61/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,436.0,456.0,464.0,488.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,12.0,12.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Missa Benedicta es - Kyrie,"(8, -2, -3, 2)","(8, -2, -3, 2)",Fuga,[Tenor],[Contratenor 2],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58/1.0,60/1.0,62/2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,464.0,480.0,498.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,20.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Missa Benedicta es - Kyrie,"(2, 2, -4, 3)","(2, 2, -4, 3)",Fuga,[Tenor],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61/2.0,63/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,490.0,504.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,Missa Benedicta es - Kyrie,"(-4, 3, -4, 5)","(-4, 3, -4, 5)",Fuga,[Bassus 1],[Bassus 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61/4.0,63/2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,494.0,506.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,Missa Benedicta es - Kyrie,"(2, -2, -3, 2)","(2, -3, -3, 2)",Fuga,[Tenor],[Contratenor 1],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68/1.0,69/1.0,73/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,552.0,560.0,592.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0,24.0,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,Missa Benedicta es - Kyrie,"(-2, -3, 2, 2)","(-3, -3, 2, 2)",Fuga,[Tenor],[Contratenor 1],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69/1.0,70/1.0,74/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,560.0,568.0,600.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,18.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,Missa Benedicta es - Kyrie,"(4, 2, 2, 2)","(4, 2, 2, 2)",Fuga,[Bassus 2],[Bassus 2],[Bassus 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69/3.0,72/3.0,74/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,564.0,588.0,604.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,10.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,Missa Benedicta es - Kyrie,"(-2, 2, 2, 2)","(-3, 2, 2, 2)",Fuga,[Tenor],[Contratenor 1],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69/3.0,70/3.0,74/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,564.0,572.0,604.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,18.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,Missa Benedicta es - Kyrie,"(2, 2, 2, -3)","(2, 2, 2, -2)",Fuga,[Tenor],[Contratenor 1],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70/1.0,71/3.0,75/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,568.0,580.0,608.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,12.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,Missa Benedicta es - Kyrie,"(2, -2, -2, -2)","(2, -2, -2, -2)",Fuga,[Bassus 2],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71/2.0,75/1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,578.0,609.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,Missa Benedicta es - Kyrie,"(-2, -2, -2, 1)","(-2, -2, -2, 1)",Fuga,[Contratenor 2],[Contratenor 2],[Contratenor 1],[Contratenor 1],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75/1.0,78/4.0,81/1.5,82/2.0,85/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,608.0,638.0,657.0,666.0,694.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0,12.0,11.0,12.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,Missa Benedicta es - Kyrie,"(-2, -2, -2, -2)","(-2, -2, -2, -2)",Fuga,[Contratenor 1],[Contratenor 1],[Contratenor 2],[Contratenor 2],[Tenor],[Tenor],[Contratenor 1],[Discantus],[Bassus 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75/2.0,75/4.0,77/4.0,78/2.0,78/3.0,78/4.0,80/4.0,81/2.0,81/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,610.0,614.0,630.0,634.0,636.0,638.0,654.0,658.0,662.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,22.0,15.0,12.0,15.0,14.0,12.0,14.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,Missa Benedicta es - Kyrie,"(-2, 1, -2, 2)","(-2, 1, -2, 2)",PEN,[Discantus],[Contratenor 2],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75/4.0,79/2.0,82/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,614.0,642.0,670.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.0,22.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,Missa Benedicta es - Kyrie,"(2, -3, 1, 4)","(2, -3, 1, 4)",Fuga,[Tenor],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76/4.0,80/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,622.0,648.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,Missa Benedicta es - Kyrie,"(-3, 2, 4, -2)","(-3, 1, 4, -2)",Fuga,[Tenor],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77/1.0,80/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,624.0,652.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,Missa Benedicta es - Kyrie,"(2, -3, 1, 4)","(2, -3, 1, 5)",Fuga,[Bassus 2],[Bassus 1],[Tenor],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77/2.0,80/4.0,83/4.0,86/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,626.0,654.0,678.0,702.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,10.0,11.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,Missa Benedicta es - Kyrie,"(2, 4, -2, -2)","(1, 4, -2, -2)",Fuga,[Tenor],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77/2.5,80/4.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,627.0,655.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,Missa Benedicta es - Kyrie,"(4, -2, -2, -2)","(4, -2, -2, -2)",Fuga,[Contratenor 2],[Discantus],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77/3.0,81/1.0,83/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,628.0,656.0,672.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,Missa Benedicta es - Kyrie,"(-3, 1, 4, -2)","(-3, 1, 5, -2)",Fuga,[Bassus 2],[Bassus 1],[Tenor],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77/3.0,81/1.0,84/1.0,87/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,628.0,656.0,680.0,704.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,10.0,10.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,Missa Benedicta es - Kyrie,"(4, -2, -2, -2)","(5, -2, -2, -2)",Fuga,[Bassus 2],[Bassus 1],[Discantus],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78/1.0,81/3.0,85/2.0,87/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,632.0,660.0,690.0,708.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,12.0,12.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,Missa Benedicta es - Kyrie,"(-2, -2, -2, -2)","(-2, -2, -2, -3)",Fuga,[Bassus 2],[Bassus 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78/3.0,82/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,636.0,664.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,Missa Benedicta es - Kyrie,"(-2, -2, -2, -2)","(-2, -2, -3, -2)",Fuga,[Bassus 2],[Bassus 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78/4.0,82/2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,638.0,666.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,Missa Benedicta es - Kyrie,"(-2, -2, 1, -2)","(-2, -2, 1, -2)",Fuga,[Contratenor 2],[Contratenor 1],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79/1.0,81/2.0,82/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,640.0,658.0,668.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,12.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,Missa Benedicta es - Kyrie,"(-2, -2, -2, 1)","(-2, -2, -2, 2)",Fuga,[Tenor],[Discantus],[Discantus],[Contratenor 2],[Discantus],[Contratenor 2],[Tenor],[Contratenor 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79/2.0,81/4.0,83/3.0,84/2.0,87/4.0,93/1.0,94/4.0,98/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,642.0,662.0,676.0,682.0,710.0,752.0,766.0,798.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,14.0,14.0,16.0,18.0,12.0,10.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,Missa Benedicta es - Kyrie,"(-2, -2, 1, -2)","(-2, -2, 2, -2)",Fuga,[Discantus],[Contratenor 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84/1.0,84/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,680.0,686.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,Missa Benedicta es - Kyrie,"(2, 1, -3, 2)","(1, 1, -3, 2)",Fuga,[Contratenor 1],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86/2.0,88/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,698.0,718.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,Missa Benedicta es - Kyrie,"(1, -2, 2, 2)","(1, -3, 2, 2)",Fuga,[Contratenor 1],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86/3.0,89/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,700.0,720.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,Missa Benedicta es - Kyrie,"(-2, -2, 2, 2)","(-2, -2, 2, 2)",Fuga,[Contratenor 2],[Bassus 1],[Tenor],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89/4.0,92/3.0,95/1.5,96/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,726.0,748.0,769.0,780.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,16.0,11.0,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
